name,address,phone,website,plus_code,lat,lon,result_index,area,city,location_type,source_file,formatted_address,vicinity,place_id,rating,user_ratings_total,types,osm_display_name,osm_place_id,photon_source
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,4,Haibargaon,nagaon,airports,results_airports_Haibargaon_Nagaon.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Janiganj Bazaar,silchar,airports,results_airports_Janiganj_Bazaar_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",223140140.0,
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,3,Janiganj Bazaar,silchar,airports,results_airports_Janiganj_Bazaar_Silchar.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Kaliabor,nagaon,airports,results_airports_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,2,Kaliabor,nagaon,airports,results_airports_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,"Sukatikhata, Assam 783331",084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,4,Kaliabor,nagaon,airports,results_airports_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,1,Kampur,nagaon,airports,results_airports_Kampur_Nagaon.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,2,Kampur,nagaon,airports,results_airports_Kampur_Nagaon.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,8,Kampur,nagaon,airports,results_airports_Kampur_Nagaon.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222950748.0,
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Khaspur,silchar,airports,results_airports_Khaspur_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222170302.0,
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,4,Khaspur,silchar,airports,results_airports_Khaspur_Silchar.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,2,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Shillong Airport,"Nongrah Umroi, Meghalaya 793116",,aai.aero,"PX3H+X4 Nongrah Umroi, Meghalaya",25.723641,92.0426338690288,4,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,"Sukatikhata, Assam 783331",084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,5,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Jorhat Airport,"Airport Rd, Jorhat, Assam 785005",094354 78990,aai.aero,"P5MM+VV Jorhat, Assam",26.7274088,94.1860779,8,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,"Airport Road, Rowriah/ jail Road Area, Rowriya, Jorhat West, Jorhat, Assam, 785004, India",221743473.0,
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Rupohihat,nagaon,airports,results_airports_Rupohihat_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,3,Rupohihat,nagaon,airports,results_airports_Rupohihat_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,"Sukatikhata, Assam 783331",084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,5,Rupohihat,nagaon,airports,results_airports_Rupohihat_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,1,Samaguri,nagaon,airports,results_airports_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,3,Samaguri,nagaon,airports,results_airports_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,"Sukatikhata, Assam 783331",084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,6,Samaguri,nagaon,airports,results_airports_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Srikona Bara Bazaar,silchar,airports,results_airports_Srikona_Bara_Bazaar_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222170302.0,
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,3,Srikona Bara Bazaar,silchar,airports,results_airports_Srikona_Bara_Bazaar_Silchar.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Tarapur,silchar,airports,results_airports_Tarapur_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",223140140.0,
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,5,Tarapur,silchar,airports,results_airports_Tarapur_Silchar.json,,,,,,,,,photon.komoot.io
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,6,Tarapur,silchar,airports,results_airports_Tarapur_Silchar.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Airport Service,"ASTC Complex, Paltan Bazaar, Guwahati, Assam 781008",1800 345 3986,astc.assam.gov.in,"5QJ2+F4 Guwahati, Assam",26.1794742,91.7525068,3,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
Ropeway Terminal,"Baruah Souk, North Guwahati, Guwahati, Assam 781030",1800 345 3986,,"6P4R+5M Guwahati, Assam",26.19247875,91.69463568731132,4,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Bus Stand,"Astc bus Stand, Paltan Bazaar, Guwahati, Assam 781008",060002 39482,,"5QJ2+F2 Guwahati, Assam",26.1811683,91.7499743,6,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Paltan Bazar,"Assam State Transport Corporation, Guwahati Railway Station Platform Overbridge, Paltan Bazaar, Guwahati, Assam 781008",,,"5PJX+9X Guwahati, Assam",26.1808421,91.7495654,8,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Zoo Road,guwahati,airports,results_airports_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
Ropeway Terminal,"Baruah Souk, North Guwahati, Guwahati, Assam 781030",1800 345 3986,,"6P4R+5M Guwahati, Assam",26.19247875,91.69463568731132,3,Zoo Road,guwahati,airports,results_airports_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Airport Service,"ASTC Complex, Paltan Bazaar, Guwahati, Assam 781008",1800 345 3986,astc.assam.gov.in,"5QJ2+F4 Guwahati, Assam",26.1794742,91.7525068,4,Zoo Road,guwahati,airports,results_airports_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,parks Ambicapatty,silchar,amusement,results_amusement_parks_Ambicapatty_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,6,parks Ambicapatty,silchar,amusement,results_amusement_parks_Ambicapatty_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,3,parks Badarpur,silchar,amusement,results_amusement_parks_Badarpur_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,5,parks Bordowa,nagaon,amusement,results_amusement_parks_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
"Batadrava Than, Nagaon","Bordua, Assam 782122",076368 06224,bordowathan.org,"CG7R+H8 Bordua, Assam",27.392937,95.3241361,6,parks Bordowa,nagaon,amusement,results_amusement_parks_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
River Side Park,"Fancy Bazaar, Guwahati, Assam 781001",0361 254 7102,,"5PMP+6W Guwahati, Assam",26.1799322,91.7362163,6,parks Chandmari,guwahati,amusement,results_amusement_parks_Chandmari_Guwahati.json,,,,,,,"Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224199293.0,
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,2,parks Dhing,nagaon,amusement,results_amusement_parks_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,4,parks Dolu Lake surroundings,silchar,amusement,results_amusement_parks_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,2,parks Gandhibag Park area,silchar,amusement,results_amusement_parks_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,4,parks Haibargaon,nagaon,amusement,results_amusement_parks_Haibargaon_Nagaon.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,parks Janiganj Bazaar,silchar,amusement,results_amusement_parks_Janiganj_Bazaar_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,1,parks Kaliabor,nagaon,amusement,results_amusement_parks_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,5,parks Kampur,nagaon,amusement,results_amusement_parks_Kampur_Nagaon.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,3,parks Khaspur,silchar,amusement,results_amusement_parks_Khaspur_Silchar.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,4,parks Khaspur,silchar,amusement,results_amusement_parks_Khaspur_Silchar.json,,,,,,,,,photon.komoot.io
River Side Park,"Fancy Bazaar, Guwahati, Assam 781001",0361 254 7102,,"5PMP+6W Guwahati, Assam",26.1799322,91.7362163,1,parks Pan Bazaar,guwahati,amusement,results_amusement_parks_Pan_Bazaar_Guwahati.json,,,,,,,"Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224199293.0,
Nehru Park,"Cotton University Rd, Pan Bazaar, Guwahati, Assam 781001",,gmda.assam.gov.in,"5PQX+C2 Guwahati, Assam",26.1872842,91.7466963,5,parks Pan Bazaar,guwahati,amusement,results_amusement_parks_Pan_Bazaar_Guwahati.json,,,,,,,"Cotton University, Ananda Ram Baruah Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224394003.0,
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,1,parks Raha,nagaon,amusement,results_amusement_parks_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,parks Srikona Bara Bazaar,silchar,amusement,results_amusement_parks_Srikona_Bara_Bazaar_Silchar.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,parks Tarapur,silchar,amusement,results_amusement_parks_Tarapur_Silchar.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,"Chandpur, Assam 788712",,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,4,parks Tarapur,silchar,amusement,results_amusement_parks_Tarapur_Silchar.json,,,,,,,,,photon.komoot.io
Dighalipukhuri Park,"Dighalipukhuri, Guwahati, Assam 781001",,,"5QP2+9G Guwahati, Assam",26.1858579,91.7505141,4,parks Uzan Bazaar,guwahati,amusement,results_amusement_parks_Uzan_Bazaar_Guwahati.json,,,,,,,"Dighalipukhuri Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",222418835.0,
Tumble Town,"Rajgarh Rd, Zoo Tiniali, Guwahati, Assam 781003",060021 13672,,"5QFC+MW Guwahati, Assam",26.1767638,91.7734819,3,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,"Rajgarh Road, Zoo Rd Tiniali, Dispur, Kamrup Metropolitan, Assam, 781003, India",224672942.0,
,"Lalungaon, Guwahati, Assam 781040",070026 17606,,"4P6P+GR Guwahati, Assam",26.1805978,91.753943,5,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
Nehru Park,"Cotton University Rd, Pan Bazaar, Guwahati, Assam 781001",,gmda.assam.gov.in,"5PQX+C2 Guwahati, Assam",26.1872842,91.7466963,6,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,"Cotton University, Ananda Ram Baruah Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223479060.0,
Paras Aquarium,"Six Mile, Guwahati, Assam 781006",094350 45312,,"4RM4+2H Guwahati, Assam",26.1407074,91.8113148,3,Beltola,guwahati,aquarium,results_aquarium_Beltola_Guwahati.json,,,,,,,"Zero Gear, Chachal, Six Mile, Oppt' H.P. Petrol Pump, VIP Road, Jaya Nagar, Six Mile, Guwahati, Dispur, Kamrup Metropolitan, Assam, 781022, India",224493166.0,
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,1,Bordowa,nagaon,aquarium,results_aquarium_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,5,Bordowa,nagaon,aquarium,results_aquarium_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,2,Dhing,nagaon,aquarium,results_aquarium_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,5,Dhing,nagaon,aquarium,results_aquarium_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Doloo Lake,"Dalu Grant, Assam 788111",,,,24.923232,92.782899,4,Dolu Lake surroundings,silchar,aquarium,results_aquarium_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Aquatic pet shop,"Daily Bazar Road, Duliajan, 1 No. Dulia, Assam 786602",,,"9857+CH Duliajan, Assam",27.3603892,95.3227582,4,Duliajan,dibrugarh,aquarium,results_aquarium_Duliajan_Dibrugarh.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,Gandhibag Park area,silchar,aquarium,results_aquarium_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,1,Haibargaon,nagaon,aquarium,results_aquarium_Haibargaon_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,5,Haibargaon,nagaon,aquarium,results_aquarium_Haibargaon_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,1,Kaliabor,nagaon,aquarium,results_aquarium_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,5,Kaliabor,nagaon,aquarium,results_aquarium_Kaliabor_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,3,Kampur,nagaon,aquarium,results_aquarium_Kampur_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,5,Kampur,nagaon,aquarium,results_aquarium_Kampur_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,1,Raha,nagaon,aquarium,results_aquarium_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,3,Raha,nagaon,aquarium,results_aquarium_Raha_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,2,Rupohihat,nagaon,aquarium,results_aquarium_Rupohihat_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,4,Rupohihat,nagaon,aquarium,results_aquarium_Rupohihat_Nagaon.json,,,,,,,,,photon.komoot.io
Roy Aquarium House,"MD Rd, Haibargaon, Nagaon, Assam 782001",,,"9M2J+W7 Nagaon, Assam",26.3514459,92.6750092,1,Samaguri,nagaon,aquarium,results_aquarium_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
Sea World Aquarium,"GNB Rd, Ambari, Guwahati, Assam 781001",098642 67556,,"5QP4+54 Guwahati, Assam",26.1845663,91.7539777,5,Samaguri,nagaon,aquarium,results_aquarium_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
R k aquarium & pet shop,"Chaiali, Panigaon, Nagaon, Assam 782003",080999 78125,,"9P42+P5 Nagaon, Assam",26.3542443,92.6970396,6,Samaguri,nagaon,aquarium,results_aquarium_Samaguri_Nagaon.json,,,,,,,,,photon.komoot.io
Sea World Aquarium,"GNB Rd, Ambari, Guwahati, Assam 781001",098642 67556,,"5QP4+54 Guwahati, Assam",26.1845663,91.7539777,1,Uzan Bazaar,guwahati,aquarium,results_aquarium_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
Sea World Aquarium,"GNB Rd, Ambari, Guwahati, Assam 781001",098642 67556,,"5QP4+54 Guwahati, Assam",26.1845663,91.7539777,5,Zoo Road,guwahati,aquarium,results_aquarium_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
Chitralekha Gallery,"Near Itachali Mashid, A.T. Road, Natun Bazar, Nagaon, Assam 782001",070024 05372,,"9M3Q+QX Nagaon, Assam",26.1804599,91.7489366,4,galleries Bordowa,nagaon,art,results_art_galleries_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
Anupurbik Art and Craft Institute Block -2,"41, Panigaon, Nagaon, Assam 782003",,facebook.com,"9P34+7V Nagaon, Assam",26.3542443,92.6970396,5,galleries Bordowa,nagaon,art,results_art_galleries_Bordowa_Nagaon.json,,,,,,,"Panigaon Chariali, Nagaon, Assam, 782001, India",222612568.0,
