name,address,phone,website,plus_code,photon_source,lat,lon,result_index,area,city,location_type,source_file,formatted_address,vicinity,place_id,rating,user_ratings_total,types,osm_display_name,osm_place_id
River Side Park,,0361 254 7102,,"5PMP+6W Guwahati, Assam",,26.1799322,91.7362163,5,parks Chandmari,guwahati,amusement,results_amusement_parks_Chandmari_Guwahati.json,,,,,,,"Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223140142.0
SILPUKHURI POND & PARK,,,,5QM6+C6G,photon.komoot.io,26.1843424,91.7630711,6,parks Chandmari,guwahati,amusement,results_amusement_parks_Chandmari_Guwahati.json,,,,,,,,
Amrit Udyan,,,,"5Q2V+5F Guwahati, Assam",photon.komoot.io,26.1472814,91.81330960988252,6,parks Ganeshguri,guwahati,amusement,results_amusement_parks_Ganeshguri_Guwahati.json,,,,,,,,
Aquatic Park,,,,5M4X+487,photon.komoot.io,26.1600453,91.6958086,6,parks Hatigaon,guwahati,amusement,results_amusement_parks_Hatigaon_Guwahati.json,,,,,,,,
Dighalipukhuri Park,,,,"5QP2+9G Guwahati, Assam",,26.1858579,91.7505141,4,parks Uzan Bazaar,guwahati,amusement,results_amusement_parks_Uzan_Bazaar_Guwahati.json,,,,,,,"Dighalipukhuri Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",222418835.0
Tumble Town,,060021 13672,,"5QFC+MW Guwahati, Assam",,26.1767638,91.7734819,3,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,"Rajgarh Road, Zoo Rd Tiniali, Dispur, Kamrup Metropolitan, Assam, 781003, India",224672942.0
Nehru Park,,,gmda.assam.gov.in,"5PQX+C2 Guwahati, Assam",,26.1872842,91.7466963,6,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,"Cotton University, Ananda Ram Baruah Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223479060.0
Paras Aquarium,,094350 45312,,"4RM4+2H Guwahati, Assam",,26.1407074,91.8113148,3,Beltola,guwahati,aquarium,results_aquarium_Beltola_Guwahati.json,,,,,,,"Zero Gear, Chachal, Six Mile, Oppt' H.P. Petrol Pump, VIP Road, Jaya Nagar, Six Mile, Guwahati, Dispur, Kamrup Metropolitan, Assam, 781022, India",223100505.0
"AQUATIC, Aquarium & Pet Shop (Your Aquarium Specialist)",,087539 52637,,"4QCP+23 Guwahati, Assam",photon.komoot.io,26.1204986,91.78665811998192,4,Beltola,guwahati,aquarium,results_aquarium_Beltola_Guwahati.json,,,,,,,,
SAI PET WORLD [ Aquarium & Pet Shop Guwahati ],,070029 54290,,"5R24+5J Guwahati, Assam",photon.komoot.io,26.15213565,91.7936860046786,5,Beltola,guwahati,aquarium,results_aquarium_Beltola_Guwahati.json,,,,,,,,
Roy Aquarium House,,,,"9M2J+W7 Nagaon, Assam",photon.komoot.io,26.3514459,92.6750092,1,Bordowa,nagaon,aquarium,results_aquarium_Bordowa_Nagaon.json,,,,,,,,
R k aquarium & pet shop,,080999 78125,,"9P42+P5 Nagaon, Assam",photon.komoot.io,26.3542443,92.6970396,5,Bordowa,nagaon,aquarium,results_aquarium_Bordowa_Nagaon.json,,,,,,,,
Sea World Aquarium,,098642 67556,,"5QP4+54 Guwahati, Assam",photon.komoot.io,26.1845663,91.7539777,6,Chandmari,guwahati,aquarium,results_aquarium_Chandmari_Guwahati.json,,,,,,,,
Aquatic pet shop,,,,"9857+CH Duliajan, Assam",photon.komoot.io,27.3603892,95.3227582,4,Duliajan,dibrugarh,aquarium,results_aquarium_Duliajan_Dibrugarh.json,,,,,,,,
Aqua Galaxy.,,,,"4QR3+8J Guwahati, Assam",photon.komoot.io,26.154512,91.7700322,2,Kahilipara,guwahati,aquarium,results_aquarium_Kahilipara_Guwahati.json,,,,,,,,
The Aquatic Arts India,,070027 78923,instagram.com,"5QF5+2V Guwahati, Assam",photon.komoot.io,26.17207581593776,91.76620246177922,5,Paltan Bazaar,guwahati,aquarium,results_aquarium_Paltan_Bazaar_Guwahati.json,,,,,,,,
RUPVARNAM FINE ART SOCIETY,,094351 00395,facebook.com,"4RM6+W2 Guwahati, Assam",photon.komoot.io,26.1805978,91.753943,1,galleries Beltola,guwahati,art,results_art_galleries_Beltola_Guwahati.json,,,,,,,,
Chitralekha Gallery,,070024 05372,,"9M3Q+QX Nagaon, Assam",photon.komoot.io,26.1804599,91.7489366,4,galleries Bordowa,nagaon,art,results_art_galleries_Bordowa_Nagaon.json,,,,,,,,
Anupurbik Art and Craft Institute Block -2,,,facebook.com,"9P34+7V Nagaon, Assam",,26.3542443,92.6970396,5,galleries Bordowa,nagaon,art,results_art_galleries_Bordowa_Nagaon.json,,,,,,,"Panigaon Chariali, Nagaon, Assam, 782001, India",222612568.0
Gauhati Artists' Guild,,094353 65831,gauhatiartistsguild.org,"5QPG+29 Guwahati, Assam",,26.1808381,91.7754221,1,galleries Chandmari,guwahati,art,results_art_galleries_Chandmari_Guwahati.json,,,,,,,"Chandmari Railway Flyover, Chandmari Colony, Chandmari, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224270529.0
ANUBHAB CARD GALLERY,,076639 88024,,"983C+WM Duliajan, Assam",photon.komoot.io,27.355045,95.32185219840927,4,galleries Duliajan,dibrugarh,art,results_art_galleries_Duliajan_Dibrugarh.json,,,,,,,,
Mehendi Artist Tisha,,078967 54780,instagram.com,"98W6+C4 Bordubi, Assam",,27.392937,95.3241361,5,galleries Duliajan,dibrugarh,art,results_art_galleries_Duliajan_Dibrugarh.json,,,,,,,"Bordubi, Tinsukia, Assam, 786692, India",222859762.0
Duliajan School of Music and Arts,,,,"984F+2H Duliajan, Assam",photon.komoot.io,27.360620114671963,95.31287843810912,6,galleries Duliajan,dibrugarh,art,results_art_galleries_Duliajan_Dibrugarh.json,,,,,,,,
ShubhArrt Studio & Gallery,,070021 38378,facebook.com,"5PJP+6R Guwahati, Assam",photon.komoot.io,26.1823701,91.7501234,2,galleries Fancy Bazaar,guwahati,art,results_art_galleries_Fancy_Bazaar_Guwahati.json,,,,,,,,
Caffee machine refrigerator AC Deep fridge besi cooler,,098544 37193,,"RQ6W+QV Silchar, Assam",photon.komoot.io,24.6845836,92.8084552,3,galleries Gandhibag Park area,silchar,art,results_art_galleries_Gandhibag_Park_area_Silchar.json,,,,,,,,
Banditaz Art Gallery,,,instagram.com,"4QR6+96 Guwahati, Assam",photon.komoot.io,26.1452117,91.7599772,2,galleries Hatigaon,guwahati,art,results_art_galleries_Hatigaon_Guwahati.json,,,,,,,,
Saneki Art Studio,,073999 66208,,"4QQH+4J Guwahati, Assam",photon.komoot.io,26.15971315,91.7734245882877,3,galleries Hatigaon,guwahati,art,results_art_galleries_Hatigaon_Guwahati.json,,,,,,,,
Soulful Affairs,,,,"4QHP+W2 Guwahati, Assam",photon.komoot.io,26.12981365427481,91.78539504352445,5,galleries Hatigaon,guwahati,art,results_art_galleries_Hatigaon_Guwahati.json,,,,,,,,
Freelance Artist ajoydey,,060022 39810,,"RRP3+R5 Silchar, Assam",photon.komoot.io,24.833918976147555,92.80075052422816,1,galleries Janiganj Bazaar,silchar,art,results_art_galleries_Janiganj_Bazaar_Silchar.json,,,,,,,,
Rajdeep Art Studio,,,,"4QV9+6H Guwahati, Assam",photon.komoot.io,26.1805978,91.753943,6,galleries Kahilipara,guwahati,art,results_art_galleries_Kahilipara_Guwahati.json,,,,,,,,
Assam Fine Arts & Crafts Society,,094351 07527,afacs.in,"5PQX+8M Guwahati, Assam",,26.1858579,91.7505141,3,galleries Paltan Bazaar,guwahati,art,results_art_galleries_Paltan_Bazaar_Guwahati.json,,,,,,,"Dighalipukhuri Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224388679.0
LIKHA PORHA,,081348 38877,,"4RJ5+3Q Guwahati, Assam",photon.komoot.io,26.1311817,91.8079403,1,galleries Six Mile,guwahati,art,results_art_galleries_Six_Mile_Guwahati.json,,,,,,,,
Archies Gallery,,011 4949 8888,archiesonline.com,5QFG+8RJ,photon.komoot.io,26.1753871,91.7774522,3,galleries Zoo Road,guwahati,art,results_art_galleries_Zoo_Road_Guwahati.json,,,,,,,,
CENTRAL BANK OF INDIA - ATM,,,centralbankofindia.co.in,"RQ9W+QP Silchar, Assam",photon.komoot.io,24.8183254,92.79796853844942,2,Ambicapatty,silchar,atm,results_atm_Ambicapatty_Silchar.json,,,,,,,,
Bank of India ATM,,,,RQ9W+QP9,photon.komoot.io,24.818241129144106,92.79663652366068,3,Ambicapatty,silchar,atm,results_atm_Ambicapatty_Silchar.json,,,,,,,,
State Bank of India ATM,,1800 11 2211,,RQFX+W9C,photon.komoot.io,24.824530047735543,92.79816223999298,4,Ambicapatty,silchar,atm,results_atm_Ambicapatty_Silchar.json,,,,,,,,
Central Bank of India ATM,,,,RQGX+XQ4,photon.komoot.io,24.8270921,92.798397,6,Ambicapatty,silchar,atm,results_atm_Ambicapatty_Silchar.json,,,,,,,,
central bank ATM,,,,"VHC5+5J Chapra, Assam",photon.komoot.io,26.32797985,90.32404765113108,6,Badarpur,silchar,atm,results_atm_Badarpur_Silchar.json,,,,,,,,
SBI ATM,,1800 1234,bank.sbi,"8MXF+M4 Nagaon, Assam",photon.komoot.io,26.3514459,92.6750092,4,Bordowa,nagaon,atm,results_atm_Bordowa_Nagaon.json,,,,,,,,
Axis Bank ATM,,1860 500 5555,branch.axisbank.com,"8MXM+6G Nagaon, Assam",photon.komoot.io,26.3514459,92.6750092,5,Bordowa,nagaon,atm,results_atm_Bordowa_Nagaon.json,,,,,,,,
Bank of Baroda ATM,,1800 258 4455,bankofbaroda.bank.in,"9M2F+2H Nagaon, Assam",,26.3514459,92.6750092,6,Bordowa,nagaon,atm,results_atm_Bordowa_Nagaon.json,,,,,,,"Haibargaon, Nagaon, Assam, 782001, India",224043926.0
"SBI ATM Trunk Road, Silchar",,,,RRJ2+GC6,photon.komoot.io,24.818241129144106,92.79663652366068,3,Dolu Lake surroundings,silchar,atm,results_atm_Dolu_Lake_surroundings_Silchar.json,,,,,,,,
United Bank of India ATM - Guwahati Branch,,,,"5PPV+H8 Guwahati, Assam",,26.182565,91.7405855,3,Fancy Bazaar,guwahati,atm,results_atm_Fancy_Bazaar_Guwahati.json,,,,,,,"Hem Baruah Road, Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223848273.0
Union Bank of India ATM,,,,4QHP+QFG,photon.komoot.io,26.130035650000003,91.79217244271844,8,Hatigaon,guwahati,atm,results_atm_Hatigaon_Guwahati.json,,,,,,,,
CENTRAL BANK OF INDIA - KAMPUR (KACHUATINALI) Branch,,03672 266 289,centralbankofindia.co.in,"5M76+VM Uttar Chang Chaki, Assam",photon.komoot.io,26.1884887,92.7369903,5,Kampur,nagaon,atm,results_atm_Kampur_Nagaon.json,,,,,,,,
State Bank Of India ATM,,1800 11 2211,,5PHW+XFJ,photon.komoot.io,26.1786131509092,91.73439906998487,4,Paltan Bazaar,guwahati,atm,results_atm_Paltan_Bazaar_Guwahati.json,,,,,,,,
India Post ATM,,,,5PQW+G86,photon.komoot.io,26.1823701,91.7501234,3,Pan Bazaar,guwahati,atm,results_atm_Pan_Bazaar_Guwahati.json,,,,,,,,
IndusInd Bank ATM,,1860 267 7777,indusind.bank.in,"5QR2+79 Guwahati, Assam",photon.komoot.io,26.19187435,91.7556458,5,Pan Bazaar,guwahati,atm,results_atm_Pan_Bazaar_Guwahati.json,,,,,,,,
PNB ATM,,,,"6GM9+55 Roha, Assam",photon.komoot.io,26.2006913,92.51459232718932,1,Raha,nagaon,atm,results_atm_Raha_Nagaon.json,,,,,,,,
State Bank ATM,,,,"6GJ9+R3 Roha, Assam",photon.komoot.io,26.2320283,92.5183078,2,Raha,nagaon,atm,results_atm_Raha_Nagaon.json,,,,,,,,
Bank Of India ATM,,,,"6GJ9+F8 Roha, Assam",photon.komoot.io,26.229165,92.5190394,4,Raha,nagaon,atm,results_atm_Raha_Nagaon.json,,,,,,,,
Central Bank Of india ATM,,,,4RJ4+PX2,photon.komoot.io,26.18491646365137,91.76399818860132,2,Six Mile,guwahati,atm,results_atm_Six_Mile_Guwahati.json,,,,,,,,
UBI ATM,,,,"4RJ5+7F Guwahati, Assam",photon.komoot.io,26.12613755,91.80607796413034,4,Six Mile,guwahati,atm,results_atm_Six_Mile_Guwahati.json,,,,,,,,
United Bank Of India ATM - Six Mile,,,,4RJ5+W7J,photon.komoot.io,26.1355999,91.8084328,5,Six Mile,guwahati,atm,results_atm_Six_Mile_Guwahati.json,,,,,,,,
Andhra Bank ATM,,,,"5QFH+R7 Guwahati, Assam",photon.komoot.io,26.174612279605387,91.77830177282992,8,Zoo Road,guwahati,atm,results_atm_Zoo_Road_Guwahati.json,,,,,,,,
Boris Bakery,,098540 23755,borisbakers.com,RQ8R+FPQ,photon.komoot.io,24.8232838,92.7914293,4,Ambicapatty,silchar,bakeries,results_bakeries_Ambicapatty_Silchar.json,,,,,,,,
LOYANS Bakery & Confectionery,,,,"4RC4+W6 Guwahati, Assam",photon.komoot.io,26.1226732,91.80584027689255,1,Beltola,guwahati,bakeries,results_bakeries_Beltola_Guwahati.json,,,,,,,,
Prime cakes | Beltola Survey,,097064 42549,,"4QHW+4F Guwahati, Assam",photon.komoot.io,26.1243284,91.796421,3,Beltola,guwahati,bakeries,results_bakeries_Beltola_Guwahati.json,,,,,,,,
Good Vibes Cakes,,086383 49676,instagram.com,"9M5Q+9R Nagaon, Assam",photon.komoot.io,26.360184,92.690182,3,Bordowa,nagaon,bakeries,results_bakeries_Bordowa_Nagaon.json,,,,,,,,
Pinki'Z Bakery,,,,"8MPM+Q6 Nagaon, Assam",photon.komoot.io,26.34859915,92.68384115661296,6,Bordowa,nagaon,bakeries,results_bakeries_Bordowa_Nagaon.json,,,,,,,,
PAPARI'S bakery (customized cake shop),,070029 04144,instagram.com,"5QQ9+PG Guwahati, Assam",photon.komoot.io,26.1626905,91.7705919,1,Chandmari,guwahati,bakeries,results_bakeries_Chandmari_Guwahati.json,,,,,,,,
JD's Sweets & Bakery 2,,084730 55999,,"984C+CX Duliajan, Assam",photon.komoot.io,27.355045,95.32185219840927,4,Duliajan,dibrugarh,bakeries,results_bakeries_Duliajan_Dibrugarh.json,,,,,,,,
M.K BAKERS,,097067 67529,,"984C+VV Duliajan, Assam",photon.komoot.io,27.3604885,95.3269885682135,5,Duliajan,dibrugarh,bakeries,results_bakeries_Duliajan_Dibrugarh.json,,,,,,,,
Boutique Bakery PVT LTD,,075720 09370,,"5PJR+PP Guwahati, Assam",photon.komoot.io,26.1817549,91.7406799,1,Fancy Bazaar,guwahati,bakeries,results_bakeries_Fancy_Bazaar_Guwahati.json,,,,,,,,
Mohit Pastry,,0361 273 1686,,"5PJR+G2 Guwahati, Assam",photon.komoot.io,26.182564979365964,91.74058554554294,3,Fancy Bazaar,guwahati,bakeries,results_bakeries_Fancy_Bazaar_Guwahati.json,,,,,,,,
Shaikh Brothers,,094358 18155,,"5PPV+M9 Guwahati, Assam",,26.182565,91.7405855,4,Fancy Bazaar,guwahati,bakeries,results_bakeries_Fancy_Bazaar_Guwahati.json,,,,,,,"Hem Baruah Road, Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223530699.0
Diamond Bakery,,088129 71474,facebook.com,"5PPV+JC Guwahati, Assam",,26.182565,91.7405855,6,Fancy Bazaar,guwahati,bakeries,results_bakeries_Fancy_Bazaar_Guwahati.json,,,,,,,"Hem Baruah Road, Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",223530699.0
Jain Bakers,,070028 50265,,"5Q2P+H6 Guwahati, Assam",photon.komoot.io,26.1818507,91.7942583,6,Ganeshguri,guwahati,bakeries,results_bakeries_Ganeshguri_Guwahati.json,,,,,,,,
Freza's Bakery and Confectionery,,094350 61717,frezasbakery.com,"4QHP+VF Guwahati, Assam",photon.komoot.io,26.1290433,91.7864162,2,Hatigaon,guwahati,bakeries,results_bakeries_Hatigaon_Guwahati.json,,,,,,,,
Suchitra Bakery,,,,"4PRV+F3 Guwahati, Assam",photon.komoot.io,26.154512,91.7700322,2,Kahilipara,guwahati,bakeries,results_bakeries_Kahilipara_Guwahati.json,,,,,,,,
"Bakers Point, Guwahati Bakery ingredient shop",,080991 32231,,"4QR6+2M Guwahati, Assam",photon.komoot.io,26.1356764,91.7622007,4,Kahilipara,guwahati,bakeries,results_bakeries_Kahilipara_Guwahati.json,,,,,,,,
Royal MN bakery,,086383 49676,instagram.com,"9M5Q+9R Nagaon, Assam",photon.komoot.io,26.360184,92.690182,4,Kaliabor,nagaon,bakeries,results_bakeries_Kaliabor_Nagaon.json,,,,,,,,
Pastry Prime,,099574 75600,pastryprime.com,"5QW4+8W Guwahati, Assam",photon.komoot.io,26.1823701,91.7501234,3,Paltan Bazaar,guwahati,bakeries,results_bakeries_Paltan_Bazaar_Guwahati.json,,,,,,,,
"The Rolling Pin Bakery, Sweets & Confectionery",,078966 86667,,"7FFX+PW Barapujia, Assam",,26.274224,92.4992256,5,Raha,nagaon,bakeries,results_bakeries_Raha_Nagaon.json,,,,,,,"Barapujia, Mikirbheta, Marigaon, Assam, 782103, India",222963826.0
Hot Cross Buns,,,,"4RJ5+P7 Guwahati, Assam",photon.komoot.io,26.18796165,91.76402369498707,3,Six Mile,guwahati,bakeries,results_bakeries_Six_Mile_Guwahati.json,,,,,,,,
"Prime Cakes, Six Mile vip road",,097064 42549,primecakes.in,"4RQ6+PH Guwahati, Assam",photon.komoot.io,26.12613755,91.80607796413034,5,Six Mile,guwahati,bakeries,results_bakeries_Six_Mile_Guwahati.json,,,,,,,,
Bholanath Bakery,,070020 53461,,"RQHQ+QW Silchar, Assam",,24.8283977,92.7911996,4,Tarapur,silchar,bakeries,results_bakeries_Tarapur_Silchar.json,,,,,,,"TV Station Road, Tarapur, Silchar, Cachar, Assam, 788014, India",224087774.0
Patisserie Operaa,,080110 18569,patisserieoperaa.com,"5QF6+42 Guwahati, Assam",photon.komoot.io,26.17207581593776,91.76620246177922,1,Ulubari,guwahati,bakeries,results_bakeries_Ulubari_Guwahati.json,,,,,,,,
Whisk And Kiss,,099546 96100,instagram.com,"5Q97+P4 Guwahati, Assam",photon.komoot.io,26.146724,91.73938852152754,4,Ulubari,guwahati,bakeries,results_bakeries_Ulubari_Guwahati.json,,,,,,,,
Repose Baker's Special,,070029 85031,srdeka.com,"5QQ4+RV Guwahati, Assam",photon.komoot.io,26.1914795,91.7519783,4,Uzan Bazaar,guwahati,bakeries,results_bakeries_Uzan_Bazaar_Guwahati.json,,,,,,,,
Let's Celebrate,,088110 93266,,"5QFG+XH Guwahati, Assam",photon.komoot.io,26.1753871,91.7774522,5,Zoo Road,guwahati,bakeries,results_bakeries_Zoo_Road_Guwahati.json,,,,,,,,
Cake and Gifts,,,,"5QFG+67 Zoo Road Tiniali, Guwahati, Assam",photon.komoot.io,26.17201335,91.7748091,6,Zoo Road,guwahati,bakeries,results_bakeries_Zoo_Road_Guwahati.json,,,,,,,,
Central Bank of India,,03843 268 644,centralbankofindia.co.in,"VHC5+26 Chapra, Assam",photon.komoot.io,26.32797985,90.32404765113108,6,Badarpur,silchar,banks,results_banks_Badarpur_Silchar.json,,,,,,,,
Axis Bank Branch,,1860 500 5555,branch.axisbank.com,"4Q7X+38 Guwahati, Assam",photon.komoot.io,26.1127978,91.79837695864182,2,Beltola,guwahati,banks,results_banks_Beltola_Guwahati.json,,,,,,,,
SBI Branch Dhing,,1800 1234,bank.sbi,"FF5H+X3 Dhing, Assam",photon.komoot.io,26.4145618,92.5511276,2,Dhing,nagaon,banks,results_banks_Dhing_Nagaon.json,,,,,,,,
Federal Bank Ltd,,03842 262 907,,RRF2+Q6X,photon.komoot.io,24.82341580978945,92.79985586657236,3,Dolu Lake surroundings,silchar,banks,results_banks_Dolu_Lake_surroundings_Silchar.json,,,,,,,,
United Bank of India,,1800 345 0345,,9849+5V6,photon.komoot.io,27.3515144,95.3212398,2,Duliajan,dibrugarh,banks,results_banks_Duliajan_Dibrugarh.json,,,,,,,,
State Bank of India,,1800 11 2211,,984F+5XG,photon.komoot.io,27.355800228277225,95.32779131023425,4,Duliajan,dibrugarh,banks,results_banks_Duliajan_Dibrugarh.json,,,,,,,,
CANARA BANK - GUWAHATI,,1800 1030,,"5PPR+3V Guwahati, Assam",photon.komoot.io,26.1912512,91.7513535,8,Fancy Bazaar,guwahati,banks,results_banks_Fancy_Bazaar_Guwahati.json,,,,,,,,
Apex Bank - Silchar Branch,,,,RQGX+CCV,photon.komoot.io,24.82341580978945,92.79985586657236,8,Gandhibag Park area,silchar,banks,results_banks_Gandhibag_Park_area_Silchar.json,,,,,,,,
SBI SME Branch GS Road,,1800 1234,bank.sbi,"5Q4H+5R Guwahati, Assam",photon.komoot.io,26.157510732932355,91.77685641691096,8,Ganeshguri,guwahati,banks,results_banks_Ganeshguri_Guwahati.json,,,,,,,,
SBI Branch Haiborgaon,,1800 1234,bank.sbi,"8MVJ+P9 Nagaon, Assam",photon.komoot.io,26.34859915,92.68384115661296,3,Haibargaon,nagaon,banks,results_banks_Haibargaon_Nagaon.json,,,,,,,,
HDFC Bank,,094097 67967,hdfc.bank.in,"9M2G+FR Nagaon, Assam",photon.komoot.io,26.3514459,92.6750092,4,Haibargaon,nagaon,banks,results_banks_Haibargaon_Nagaon.json,,,,,,,,
SBI Branch Hatigaon Charali Guwahati,,1800 1234,bank.sbi,"4QHM+WF Guwahati, Assam",photon.komoot.io,26.1764006,91.7569564,1,Hatigaon,guwahati,banks,results_banks_Hatigaon_Guwahati.json,,,,,,,,
CANARA BANK - HATIGAON-II,,1800 1030,,"4QCP+VQ Guwahati, Assam",photon.komoot.io,26.1764006,91.7569564,2,Hatigaon,guwahati,banks,results_banks_Hatigaon_Guwahati.json,,,,,,,,
CANARA BANK - GUWAHATI HATIGAON,,1800 1030,,"4QHM+RP Guwahati, Assam",photon.komoot.io,26.130035650000003,91.79217244271844,3,Hatigaon,guwahati,banks,results_banks_Hatigaon_Guwahati.json,,,,,,,,
SBI Branch Kahilipara,,1800 1234,bank.sbi,"4QVJ+Q4 Kahilipara, Guwahati, Assam",photon.komoot.io,26.1409516,91.763396,4,Kahilipara,guwahati,banks,results_banks_Kahilipara_Guwahati.json,,,,,,,,
